Using ICC.
Will do slow start
Using Compete Mode
Using Automatic Theta Mode
Using Automatic Mode with default lamda = 1
Set Bd= 10ms
Set_Rc= 30mbps
Assigning Source ID: 2126161620
Assuming training link rate of: 2666.67 pkts/sec
Could not establish connection
Could not establish connection
Connection Established.
init: min_rtt= 1.79769e+308
Received incorrect ack for src -1 to 2126161620 for flow -1 to 0
Received incorrect ack for src -1 to 2126161620 for flow -1 to 0
new_RTT_at: 9315.28 cur_dir= -2 prev_v= 1 cur_v= 1 window= 2 target= -28.2025 rtt= 47.1491
new_RTT_at: 9399.02 cur_dir= -1 prev_v= 1 cur_v= 1 window= 2 target= 54.8905 rtt= 23.1517
new_RTT_at: 9421.7 cur_dir= 1 prev_v= 1 cur_v= 1 window= 2 target= 66.4886 rtt= 22.6372
new_RTT_at: 9448.93 cur_dir= 2 prev_v= 1 cur_v= 2 window= 3.80333 target= 66.4886 rtt= 22.6372
new_RTT_at: 9510.57 cur_dir= 4 prev_v= 2 cur_v= 4 window= 11.0937 target= -41.0336 rtt= 60.8136
new_RTT_at: 9673.57 cur_dir= -12 prev_v= 1 cur_v= 1 window= 8.38772 target= -78.089 rtt= 156.585
new_RTT_at: 9782.31 cur_dir= -6 prev_v= 1 cur_v= 1 window= 6.65916 target= -52.68 rtt= 79.4394
new_RTT_at: 9855.42 cur_dir= -8 prev_v= 1 cur_v= 1 window= 4.4074 target= -12.6957 rtt= 36.8153
new_RTT_at: 9885.52 cur_dir= -3 prev_v= 1 cur_v= 1 window= 3.39957 target= 49.2333 rtt= 23.4847
new_RTT_at: 9911.46 cur_dir= 4 prev_v= 1 cur_v= 1 window= 6.08451 target= 72.363 rtt= 22.4434

debug1:sec: 10 throughput: 0.699965 RTT: 70.2718
new_RTT_at: 10017.3 cur_dir= -1 prev_v= 1 cur_v= 1 window= 5.65543 target= -56.8832 rtt= 88.1462
new_RTT_at: 10108.3 cur_dir= -6 prev_v= 1 cur_v= 1 window= 4.07736 target= -56.5443 rtt= 87.3982
new_RTT_at: 10207.6 cur_dir= -4 prev_v= 1 cur_v= 1 window= 2.56356 target= -61.4447 rtt= 99.083
new_RTT_at: 10275.5 cur_dir= -3 prev_v= 1 cur_v= 1 window= 2.08233 target= -43.1819 rtt= 63.7286
new_RTT_at: 10338.8 cur_dir= -4 prev_v= 1 cur_v= 1 window= 2 target= 62.9576 rtt= 22.7734
new_RTT_at: 10364.4 cur_dir= 1 prev_v= 1 cur_v= 1 window= 4.58121 target= 62.9576 rtt= 22.7734
new_RTT_at: 10430.4 cur_dir= 5 prev_v= 1 cur_v= 2 window= 6.58604 target= -42.5329 rtt= 62.8258
